,year,month,day,td,pd,cloudd,precipd,wdird,wsd,tn,pn,cloudn,precipn,wdirn,wsn
295,1998,1,28,-5.0,736,dull,,ЮЗ,7,-5.0,735,dull,,ЮЗ,7
296,1998,1,29,-5.0,737,dull,snow,СЗ,2,-10.0,739,dull,snow,СЗ,2
297,1998,1,30,-14.0,743,sun,,З,1,-19.0,743,sun,,З,1
298,1998,1,31,-14.0,735,dull,snow,ЮВ,5,-8.0,731,dull,snow,ЮВ,5
299,1998,2,1,-12.0,736,sunc,,З,3,-15.0,740,suncl,snow,З,3
300,1998,2,2,-17.0,747,dull,,ЮЗ,2,-14.0,747,dull,snow,ЮЗ,2
301,1998,2,3,-9.0,748,dull,,Ю,4,-11.0,746,dull,,Ю,4
302,1998,2,4,-8.0,736,dull,snow,Ю,3,-9.0,736,dull,snow,Ю,3
303,1998,2,5,-9.0,744,dull,,Ю,2,-7.0,741,dull,snow,Ю,2
304,1998,2,6,-1.0,740,dull,,Ю,2,-3.0,740,dull,snow,Ю,2
305,1998,2,7,-12.0,747,sunc,,С,4,-16.0,750,sun,,С,4
306,1998,2,8,-16.0,753,suncl,,ЮЗ,2,-15.0,751,dull,,ЮЗ,2
307,1998,2,9,-7.0,747,dull,snow,ЮЗ,4,-5.0,747,dull,,ЮЗ,4
308,1998,2,10,0.0,746,dull,,Ю,3,0.0,743,dull,,Ю,3
309,1998,2,11,3.0,738,suncl,,З,4,1.0,738,sun,,З,4
310,1998,2,12,1.0,729,dull,,СЗ,3,0.0,729,dull,,СЗ,3
311,1998,2,13,-16.0,739,sun,,С,5,-20.0,744,sun,,С,5
312,1998,2,14,-16.0,744,dull,snow,СЗ,3,-17.0,744,sun,,СЗ,3
313,1998,2,15,-21.0,747,sun,,СЗ,3,-22.0,750,sun,,СЗ,3
314,1998,2,16,-11.0,737,dull,,ЮЗ,7,-8.0,727,dull,snow,ЮЗ,7
315,1998,2,17,-6.0,727,suncl,,С,5,-18.0,736,suncl,,С,5
316,1998,2,18,-17.0,750,sun,,З,3,-20.0,749,sunc,,З,3
317,1998,2,19,2.0,731,dull,,З,5,2.0,732,suncl,,З,5
